tag	title	comment	src
이별	카톡 차단확인	카톡프사 눌러서 오른쪽 위에 버튼 없으면 차단임	펨코
이별	헤어졌다링	아 ㅠㅠㅜㅜㅠㅜㅠㅜㅜㅠ 힘내유 ㅠㅠㅜㅠㅠㅜㅠㅠ	펨코
이별	이별후 노래	기억을 걷습니다 고갱님	펨코
이별	3개월만에 헤어졌네요	인연이 아니였던거지 만남들 복기해보고 다음연애 준비하자	펨코
이별	헤어졌다 만났다가 3번째인데 끝이나버렸습니다	너무 자책하지 마세요	펨코
이별	지옥이 따로없네요	힘든거 이해하고 마음 저리는거 안타까운데 회사에선 티내지말자	펨코
이별	헤어졌습니다	가소롭다고 생각하시면 편할듯 제가 보기엔 전여친이 100% 아쉬울 상황이라	펨코
이별	헤어졌읍니다	힘내 더 좋은 인연 나타날거야	펨코
이별	어제 밤에 헤어지고 오늘 첫 저녁인데 진짜 시간이 안간다	저도 어제 밤에 헤어졌는데, 밤 줄여가며 와우했는데 지금은 와우도 안잡히고 그냥 공허함	펨코
이별	방금 헤어지고 왔어	인연이 아니었을 뿐이야 힘내구	펨코
이별	두렵다	그렇다고 아무나 만나면 안됨	펨코
이별	500일 2주정도 앞두고 헤어졌다!!	울지마셈 위추ㅜ	펨코
이별	날씨가 너무 좋네요	비오는데요?	펨코
이별	전여친 자꾸 생각남 ㅠㅠ	당연한 것	펨코
이별	3년 연애 후 이별 인사	그 다음 애인한테도 그 소리 할거임	펨코
이별	헤어진 애인에게 전화가 왔어요 뭘까요?	새벽감성에 취해서 연락했다가 이성을 잡은거아닐까	펨코
이별	과cc 이별한지 5일째인데 미치겠습니다	재회할 마음이 없다면 속마음 털어놓고 훌훌 이겨내시길 바랍니다	펨코
이별	2년만남후 1년 이별 재만남	상대방에게 가장 큰 복수는 본인이 그냥 아무렇지 않게 잘 사는 것	펨코
이별	오늘 헤어졌네요	화이팅합시다 우리	펨코
이별	환승이별의 후유증은 생각보다 길다	올해는 행복하시길 토닥토닥	펨코
이별	첫 연애 끝났습니다	후회없는 마지막 만남 되세요,,,	펨코
이별	여친이랑 헤어졌읍니다	수고많았어요 ㅠㅠ 그래도 다 풀건 풀어서 다행이네요	펨코
이별	헤어졌는데 만나주는건뭔가요	님도 마음있으시면 먼저 확 한번 잡아보시는게	펨코
이별	헤어졌다	잘했다	펨코
이별	헤어진 여자친구 잡고 싶은데	헤어질때 어떤상황이였는지에 따라 다르겠네요	펨코
이별	헤어짐	이별이 무덤덤해지는 순간 아잰데 아직 청춘이시구먼?	펨코
이별	헤어진 지 3년 지났지만 아직 생각남	서로 연락 한 번 없이 지낸 건가요? 다들 한 번쯤은 온다는거 같아서요 ㅎㅎ	펨코
이별	3년 사귀고 오늘 헤어졌습니다	우허허	펨코
이별	어제 1년1개월 연애끝에 헤어지고	힘내요!! 인연이라면 꼭 다시 만날거에요	펨코
이별	연락하고 보는건 보는데 사귀는건 시간갖자는건뭐냐	자기마음에준비가안된게아닐까	펨코
